array1	1	上山路到群仙观	34.52493859069908	110.077283353462	400	31
			34.52016524871816	110.07727262462619	400	31
			34.51666020401237	110.07686492885593	500	38
			34.513148381452744	110.07519391263965	500	38
			34.510582381015006	110.07370528663638	500	38
			34.50773780756649	110.07558283294681	500	38
			34.503574653454784	110.0752395101929	500	38
			34.500086594677214	110.07577595199588	500	38
			34.49586889902934	110.07539239610675	450	35
			34.490930298689584	110.07649210180286	1000	77
			34.4910187274114	110.07769909585956	300	23
			34.49425073275184	110.07821944440845	200	15
			34.497080292582375	110.07964637960437	200	25
			34.498636509558054	110.08182433332446	50	6
	2	群仙观到三峰路口	34.49759314002256	110.08446362699512	250	31
			34.4973455588945	110.08375015939716	200	40
			34.495718578902306	110.08346048082355	200	40
			34.49294202885951	110.08175459589008	220	28
			34.48866207000296	110.08322444643024	342	43
			34.484771007710535	110.08331027711871	300	38
array2	3	三峰路口到中缝岔路	34.483247695817845	110.08241173709872	50	8
			34.48270822891242	110.08275505985263	50	8
			34.48212453947878	110.08343097652438	170	28
	6	中锋岔路拐弯处到中峰	34.48212453947878	110.08343097652438	40	7
			34.481549689832754	110.0836670109177	60	10
array3	3	三峰路口到中缝岔路	34.483247695817845	110.08241173709872	100	17
			34.48270822891242	110.08275505985263	90	15
	4	中锋岔路拐弯处到东峰岔路	34.48212453947878	110.08343097652438	80	13
			34.48300007209844	110.08438584293368	50	8
	5	东峰岔路到东峰	34.48419396540649	110.08565184558871	50	8
			34.485343624293925	110.08549091304782	50	25
			34.485891917567486	110.08701440776828	50	25
array4	3	三峰路口到中缝岔路	34.483247695817845	110.08241173709872	50	8
			34.48270822891242	110.08275505985263	50	8
	4	中锋岔路拐弯处到东峰岔路	34.48212453947878	110.08343097652438	50	8
			34.48300007209844	110.08438584293368	50	8
	7	东峰岔路到南峰	34.48419396540649	110.08565184558871	50	10
			34.483069716324300 	110.088586182251000 	80	16
			34.481212516543400 	110.088736385955000 	60	12
			34.479885919957400 	110.086955399169000 	50	10
			34.479054575345300 	110.085517735137000 	40	8
			34.477922518297700 	110.083286137237000 	50	10
			34.477144220167400 	110.082213253631000 	40	8
			34.476878889600100 	110.081869930877000 	40	8
	8	南峰到长空栈道	34.476800609529700 	110.080186128616000 	20	20
			34.476542803003800 	110.081548065795000 	20	20
			34.476454358937800 	110.082384915008000 	50	50
array5	9	三峰路口到西峰路口	34.482991442063500 	110.082192420959000 	50	50
			34.482337004339700 	110.081226825714000 	80	80
	11	西峰路口到西峰	34.481541059648400 	110.079510211944000 	60	10
			34.482726130092600 	110.077707767486000 	50	8
			34.484034994300700 	110.077536106109000 	40	7
			34.484583296176300 	110.075647830963000 	50	8
			34.484194179087700 	110.074682235717000 	70	12
			34.482929536011800 	110.073094367980000 	50	8
